,warp_dens,weft_dens,warp_nominal,weft_nominal,classes
1,16.0,10.0,0.4,0.7,2
4,24.0,10.0,0.5,0.55,2
5,24.0,10.0,0.5,0.5,2
7,22.0,12.0,0.65,0.65,2
11,14.0,10.0,0.75,0.7,2
12,14.0,10.0,0.75,0.7,2
14,18.0,14.0,0.4,0.5,2
18,24.0,9.0,0.45,0.45,2
21,24.0,12.0,0.55,0.55,2
22,14.0,10.0,0.65,0.65,2
25,16.0,12.0,0.45,0.75,2
26,16.0,14.0,0.35,0.35,2
28,24.0,10.0,0.35,0.5,2
29,23.0,12.0,0.35,0.45,2
34,14.0,16.0,0.5,0.45,2
35,24.0,10.0,0.45,0.45,2
37,24.0,10.0,0.4,0.4,2
38,22.0,12.0,0.4,0.4,2
44,12.0,10.0,0.25,0.35,2
45,17.0,10.0,0.55,0.55,2
50,24.0,13.0,0.4,0.4,2
55,20.0,12.0,0.4,0.3,2
56,24.0,9.0,0.4,0.45,2
62,20.0,8.0,0.35,0.6,2
65,16.0,16.0,0.3,0.3,2
70,16.0,12.0,0.5,0.5,2
71,22.0,16.0,0.4,0.4,2
72,18.0,13.0,0.25,0.25,2
73,16.0,12.0,0.4,0.4,2
74,16.0,11.0,0.5,0.4,2
77,15.0,12.0,0.4,0.4,2
80,13.0,9.0,0.4,0.55,2
81,13.0,9.0,0.4,0.55,2
82,13.0,9.0,0.4,0.55,2
89,24.0,10.0,0.35,0.35,2
91,20.0,10.0,0.25,0.25,2
97,16.0,10.0,0.5,0.5,2
99,20.0,10.0,0.25,0.35,2
102,19.0,12.0,0.45,0.45,2
112,20.0,5.0,0.4,0.55,2
116,16.0,10.0,0.65,0.65,2
117,16.0,10.0,0.65,0.65,2
123,16.0,8.0,0.45,0.6,2
124,22.0,13.0,0.35,0.55,2
127,14.0,9.0,0.35,0.35,2
128,22.0,9.0,0.35,0.4,2
129,20.0,12.0,0.5,0.4,2
139,22.0,9.0,0.45,0.55,2
141,24.0,10.0,0.4,0.35,2
142,24.0,10.0,0.4,0.35,2
152,20.0,8.0,0.45,0.45,2
156,20.0,8.0,0.4,0.5,2
162,18.0,10.0,0.35,0.45,2
163,18.0,10.0,0.35,0.45,2
164,18.0,10.0,0.35,0.45,2
165,14.0,10.0,0.5,0.6,2
171,14.0,10.0,0.5,0.6,2
178,16.0,12.0,0.45,0.45,2
180,15.0,10.0,0.45,0.45,2
182,14.0,14.0,0.5,0.5,2
183,16.0,9.0,0.35,0.45,2
190,14.0,7.0,0.4,0.4,2
192,22.0,8.0,0.4,0.4,2
194,24.0,12.0,0.4,0.35,2
195,24.0,10.0,0.35,0.35,2
197,18.0,8.0,0.45,0.45,2
198,17.0,9.0,0.5,0.5,2
201,24.0,9.0,0.35,0.55,2
204,20.0,12.0,0.6,0.45,2
205,12.0,10.0,0.4,0.4,2
206,24.0,10.0,0.5,0.45,2
216,21.0,7.0,0.45,0.5,2
217,21.0,7.0,0.45,0.5,2
220,24.0,12.0,0.45,0.45,2
221,24.0,12.0,0.45,0.45,2
222,24.0,12.0,0.45,0.45,2
225,22.0,10.0,0.4,0.45,2
226,22.0,10.0,0.4,0.45,2
227,17.0,11.0,0.5,0.5,2
228,20.0,10.0,0.5,0.45,2
229,20.0,10.0,0.5,0.45,2
230,20.0,10.0,0.5,0.45,2
231,20.0,10.0,0.5,0.45,2
232,20.0,10.0,0.5,0.45,2
233,20.0,10.0,0.5,0.45,2
234,18.0,12.0,0.5,0.4,2
235,17.0,9.0,0.45,0.45,2
236,17.0,9.0,0.45,0.45,2
237,17.0,9.0,0.45,0.45,2
238,17.0,9.0,0.45,0.45,2
239,17.0,9.0,0.45,0.45,2
240,17.0,9.0,0.45,0.45,2
241,17.0,9.0,0.45,0.45,2
245,14.0,10.0,0.65,0.9,2
246,14.0,10.0,0.65,0.9,2
247,14.0,10.0,0.45,0.65,2
250,14.0,10.0,0.45,0.65,2
252,14.0,10.0,0.45,0.65,2
253,14.0,10.0,0.4,0.65,2
256,14.0,10.0,0.4,0.65,2
259,18.0,10.0,0.45,0.6,2
260,18.0,10.0,0.45,0.6,2
261,18.0,11.0,0.45,0.65,2
265,18.0,10.0,0.45,0.45,2
266,14.0,12.0,0.5,0.5,2
267,18.0,12.0,0.6,0.6,2
268,14.0,10.0,0.65,0.8,2
269,14.0,10.0,0.5,0.65,2
270,15.0,12.0,0.4,0.5,2
279,20.0,12.0,0.5,0.4,2
280,20.0,12.0,0.5,0.4,2
281,20.0,12.0,0.5,0.4,2
282,14.0,10.0,0.4,0.5,2
283,22.0,14.0,0.5,0.4,2
284,22.0,14.0,0.5,0.4,2
